name,l_mean,l_std,l_entropy,a_mean,a_std,a_entropy,b_mean,b_std,b_entropy,curvature_mean,curvature_std,curvature_entropy,curvature_ggd1,curvature_ggd2,curvature_aggd1,curvature_aggd2,curvature_aggd3,curvature_aggd4,curvature_gamma1,curvature_gamma2,anisotropy_mean,anisotropy_std,anisotropy_entropy,anisotropy_ggd1,anisotropy_ggd2,anisotropy_aggd1,anisotropy_aggd2,anisotropy_aggd3,anisotropy_aggd4,anisotropy_gamma1,anisotropy_gamma2,linearity_mean,linearity_std,linearity_entropy,linearity_ggd1,linearity_ggd2,linearity_aggd1,linearity_aggd2,linearity_aggd3,linearity_aggd4,linearity_gamma1,linearity_gamma2,planarity_mean,planarity_std,planarity_entropy,planarity_ggd1,planarity_ggd2,planarity_aggd1,planarity_aggd2,planarity_aggd3,planarity_aggd4,planarity_gamma1,planarity_gamma2,sphericity_mean,sphericity_std,sphericity_entropy,sphericity_ggd1,sphericity_ggd2,sphericity_aggd1,sphericity_aggd2,sphericity_aggd3,sphericity_aggd4,sphericity_gamma1,sphericity_gamma2
hhi_1.ply,30.9386361821538,17.76011357666303,5.562066818244515,0.4630292658418545,4.891110347409811,5.113468685641774,-4.049978782144225,6.177939373600773,5.403239094060431,0.026363695,0.016719483,5.506390284985752,4.417,0.031218342,0.812,0.3882574731665688,0.7125449,1.294604,2.48638,0.010603243,0.95606184,0.031045992,5.077056356733081,10.0,0.95656586,0.718,-0.4578454819408909,1.3625035,0.64738226,948.3345,0.0010081483,0.39811772,0.17338601,7.097154106976953,10.0,0.43423536,2.979,0.0524422928440294,0.96846193,1.0318804,5.2722454,0.075511985,0.5579442,0.17105666,7.060907627708243,10.0,0.583577,2.959,-0.0476229473099045,1.0289651,0.97134787,10.639033,0.05244313,0.043938108,0.031046,5.0770558183344185,2.533,0.053799715,0.718,0.4578452148141399,0.64738077,1.3625016,2.0029595,0.021936594
hhi_10.ply,33.19126627920112,18.81981263818148,7.267244500699156,2.299190461223646,18.681246958341333,6.741602471776996,-2.729026699917784,19.36546883916721,6.880826313760672,0.0020780542,0.008906597,2.9133899449727845,0.2,0.009145803,0.242,0.7076125521847464,0.19017649,2.4392066,0.054436546,0.03817388,0.9964873,0.016655175,2.380867612445886,10.0,0.9966265,0.224,-0.6684070752997908,2.4898465,0.17318691,3579.6917,0.00027837238,0.40738976,0.18041627,7.225801513958213,10.0,0.4455518,4.234,0.1375158663185062,0.92287576,1.085999,5.0988145,0.079898916,0.58909756,0.18038915,7.228648857345108,10.0,0.61609745,4.274,-0.1362441357457079,1.0851653,0.9236148,10.664834,0.055237386,0.003512707,0.016655175,2.3808290013017275,0.2,0.017021565,0.224,0.6684090013915275,0.17318834,2.4898546,0.04448217,0.07896888
hhi_11.ply,33.95656192151246,19.337412946293764,7.283864773912933,3.054358634785807,22.35488646611599,6.930613974922271,-2.1753878892185163,23.20696934495798,7.033939961992627,0.0020780542,0.008906597,2.9133899449727845,0.2,0.009145803,0.242,0.7076125521847464,0.19017649,2.4392066,0.054436546,0.03817388,0.9964873,0.016655175,2.380867612445886,10.0,0.9966265,0.224,-0.6684070752997908,2.4898465,0.17318691,3579.6917,0.00027837238,0.40738976,0.18041627,7.225801513958213,10.0,0.4455518,4.234,0.1375158663185062,0.92287576,1.085999,5.0988145,0.079898916,0.58909756,0.18038915,7.228648857345108,10.0,0.61609745,4.274,-0.1362441357457079,1.0851653,0.9236148,10.664834,0.055237386,0.003512707,0.016655175,2.3808290013017275,0.2,0.017021565,0.224,0.6684090013915275,0.17318834,2.4898546,0.04448217,0.07896888
hhi_12.ply,31.835236372656496,17.76785544750674,7.2419445494016275,0.458487773847649,4.848873369852413,5.904966670608587,-3.983607605213912,6.102982650576236,6.571100021662387,0.0022870067,0.009481471,3.020556007117966,0.2,0.009753388,0.25,0.726733730601295,0.1962428,2.4277499,0.05818137,0.03930823,0.9961522,0.0175827,2.483433989654557,10.0,0.9963073,0.231,-0.687510823889688,2.479342,0.17911075,3209.8213,0.00031034506,0.40217835,0.17140019,7.241021675270774,10.0,0.4371789,2.583,0.0570182837531585,0.96557134,1.0352715,5.5057364,0.07304715,0.5939739,0.17173135,7.244313417482104,10.0,0.61830133,2.57,-0.0584448692944597,1.0361807,0.9647067,11.962891,0.04965137,0.0038478193,0.0175827,2.483459566582423,0.2,0.017998796,0.231,0.6875098975047308,0.17911302,2.479341,0.047891535,0.08034445
hhi_13.ply,31.8363224663229,17.76468791397307,7.241749052206595,0.4634703472331678,4.857905862991323,5.906610194746947,-3.980767342984561,6.1096241680651175,6.572023280219784,0.0025648389,0.010217992,3.224866871931413,0.2,0.01053497,0.26,0.7486899587251649,0.2045338,2.4130678,0.063007146,0.04070711,0.99573475,0.018869026,2.7455653524125143,10.0,0.99591345,0.238,-0.7051720447113579,2.4676383,0.18539476,2784.7683,0.00035756468,0.42815876,0.17446584,7.275076174425482,10.0,0.4623399,2.712,-0.0039352976274771,1.0023997,0.9976079,6.0226765,0.07109111,0.567576,0.17472453,7.265842538980428,10.0,0.5938612,2.689,0.0026634954670506,0.9983796,1.001625,10.552149,0.053787716,0.004265276,0.018869026,2.74557399627516,0.2,0.019345082,0.238,0.7051752860610108,0.18539596,2.46765,0.05109707,0.08347399
hhi_14.ply,31.85112571683788,17.766976526416844,7.242473849445293,0.4574474477831515,4.84718298836862,5.937137344816415,-3.982981653488487,6.100039222677816,6.57098904405181,0.0029880498,0.011188264,3.3122423991894414,0.204,0.011580391,0.276,0.7806075068302922,0.21753298,2.390214,0.071326524,0.041892543,0.99508375,0.020341644,2.8106605382144445,10.0,0.9952916,0.253,-0.7409929673768586,2.4454553,0.1981314,2393.0295,0.00041582595,0.44548026,0.17672226,7.281148949327022,10.0,0.47925293,2.817,-0.0297274322570191,1.0181705,0.98207724,6.3544106,0.07010567,0.54960346,0.17706136,7.285723428762216,10.0,0.57742065,2.7880000000000003,0.0283637051451765,0.9828885,1.0173526,9.635011,0.057042334,0.004916305,0.020341644,2.8107090314184515,0.2,0.020927295,0.253,0.7409918668097499,0.19813372,2.4454544,0.058412585,0.08416516
hhi_15.ply,31.879863703757124,17.781031309050096,7.242155541491261,0.455366027218157,4.845484714432872,5.93809732149292,-3.9782242273487256,6.094754934506007,6.582517346551615,0.0035398598,0.012192038,3.584269860632685,0.218,0.012695511,0.301,0.8197858132002976,0.23609501,2.345789,0.08429867,0.041991886,0.99420905,0.021968737,3.0961281284698283,10.0,0.99445176,0.274,-0.7793037144043562,2.3997507,0.21569821,2048.0776,0.00048543524,0.45213285,0.1780848,7.291658019823156,10.0,0.48594055,2.849,-0.0382471089014367,1.0233816,0.97698283,6.445842,0.07014334,0.54207623,0.17855078,7.281497438609373,10.0,0.5707249,2.8120000000000003,0.0364062325635123,0.97806895,1.022277,9.217189,0.058811452,0.0057909256,0.021968737,3.096147589090384,0.202,0.022719132,0.274,0.7793042248329848,0.21569717,2.3997512,0.069484346,0.08334144
hhi_16.ply,31.821748035210767,17.793175063435697,7.236584174133375,0.4641374973528198,4.860975546665269,5.958954804631389,-3.978664151663376,6.107741226188391,6.589669738114648,0.0043875803,0.013528215,3.817403526367603,0.238,0.014221907,0.339,0.8640249606786856,0.26197734,2.2801383,0.1051892,0.04171132,0.9928903,0.024101667,3.302865403713472,10.0,0.9931828,0.306,-0.8249269047266015,2.3328724,0.239743,1697.1113,0.00058504724,0.46394742,0.18029748,7.325094027671991,10.0,0.49774918,2.841,-0.0490408575147511,1.0300395,0.9705343,6.6215568,0.070066206,0.5289429,0.1808959,7.297840839092904,10.0,0.55902034,2.8000000000000003,0.0452664553686101,0.9727525,1.027737,8.54992,0.061865244,0.0071097054,0.024101667,3.302840240059412,0.22,0.025128385,0.306,0.8249268107630363,0.23974314,2.3328724,0.08701838,0.081703484
hhi_17.ply,31.77770499599421,17.715811181534853,7.23043031893864,0.4475316052676502,4.841964326990023,5.910886883119555,-4.0174942204000175,6.096735330224242,6.582582498664502,0.006638274,0.01685389,4.431009548756895,0.282,0.018114002,0.424,0.8963874587954167,0.31425777,2.1099417,0.15513685,0.042789795,0.9893083,0.029862342,3.966802560546794,10.0,0.9897589,0.375,-0.8667206152631363,2.1682808,0.28747693,1097.54,0.00090138696,0.4815978,0.18492895,7.332104094745325,10.0,0.51588255,2.905,-0.0652602691088215,1.0400175,0.9609592,6.782097,0.07101016,0.50771046,0.18563694,7.312696844901369,10.0,0.54058355,2.866,0.0626611694031936,0.9624544,1.0384377,7.4801164,0.067874685,0.0106917005,0.029862342,3.9668021538561806,0.259,0.03171848,0.375,0.8667207251322687,0.28747687,2.168281,0.12818897,0.08340578
hhi_18.ply,31.82999260677709,17.769173853943524,7.230112831721943,0.4722378516502883,5.074583886963635,5.879974568589317,-3.977787035557873,6.271725742983195,6.423694444446524,0.0022782134,0.00945318,3.033883833089574,0.2,0.009723824,0.249,0.7237142142678867,0.19602545,2.4275894,0.058080927,0.039224815,0.9961635,0.017615257,2.543318417667739,10.0,0.9963192,0.23,-0.6841502358287999,2.4784951,0.1782399,3198.0396,0.0003114919,0.40144193,0.17153274,7.239486028732033,10.0,0.43655363,2.591,0.0559984493479903,0.96620476,1.0346408,5.477117,0.07329438,0.59472156,0.17184578,7.242322851325907,10.0,0.6190514,2.578,-0.0580202375990416,1.0359321,0.9649957,11.97706,0.049655054,0.0038365172,0.017615257,2.5433477489503185,0.2,0.018028192,0.23,0.6841500940061706,0.17824017,2.478495,0.047434777,0.08087983
