name,mos,dataset
hhi_41.ply,15.0,SJTU
hhi_17.ply,17.85714286,SJTU
hhi_16.ply,40.56122449,SJTU
hhi_15.ply,49.296875,SJTU
hhi_14.ply,70.15625,SJTU
hhi_13.ply,65.34615385000001,SJTU
hhi_12.ply,87.41666667000001,SJTU
hhi_11.ply,50.21153846,SJTU
hhi_10.ply,48.08333333,SJTU
hhi_18.ply,82.38461537999999,SJTU
hhi_9.ply,61.40625,SJTU
hhi_7.ply,67.76923077000001,SJTU
hhi_6.ply,97.96875,SJTU
hhi_5.ply,19.53125,SJTU
hhi_4.ply,41.83333333,SJTU
hhi_3.ply,73.71153846,SJTU
hhi_2.ply,89.453125,SJTU
hhi_1.ply,77.109375,SJTU
hhi_0.ply,95.16666667000001,SJTU
hhi_8.ply,61.07692308,SJTU
hhi_19.ply,73.99234693999999,SJTU
hhi_40.ply,20.833333330000002,SJTU
hhi_21.ply,43.08333333,SJTU
hhi_39.ply,24.921875,SJTU
hhi_38.ply,49.209183669999994,SJTU
hhi_37.ply,58.42307692,SJTU
hhi_36.ply,82.19230768999999,SJTU
hhi_35.ply,11.953125,SJTU
hhi_33.ply,34.75,SJTU
hhi_32.ply,68.36734693999999,SJTU
hhi_31.ply,83.125,SJTU
hhi_34.ply,18.67307692,SJTU
hhi_29.ply,10.0,SJTU
hhi_30.ply,94.64285714,SJTU
hhi_23.ply,19.05769231,SJTU
hhi_24.ply,76.80769231000001,SJTU
hhi_25.ply,63.66666667,SJTU
hhi_22.ply,24.453125,SJTU
hhi_27.ply,22.083333330000002,SJTU
hhi_28.ply,15.40384615,SJTU
hhi_26.ply,45.625,SJTU
hhi_20.ply,50.16666667,SJTU
longdress_10.ply,49.0625,SJTU
longdress_17.ply,21.26923077,SJTU
longdress_16.ply,44.21875,SJTU
longdress_15.ply,57.578125,SJTU
longdress_14.ply,77.44897959000001,SJTU
longdress_13.ply,83.81377551,SJTU
longdress_12.ply,81.61538461999999,SJTU
longdress_11.ply,40.91666667,SJTU
longdress_0.ply,85.01275509999999,SJTU
longdress_7.ply,75.26923077000001,SJTU
longdress_6.ply,96.82692308,SJTU
longdress_5.ply,34.0625,SJTU
longdress_4.ply,71.17346939,SJTU
longdress_3.ply,55.078125,SJTU
longdress_2.ply,63.046875,SJTU
longdress_1.ply,61.59615385000001,SJTU
longdress_18.ply,91.71875,SJTU
longdress_8.ply,67.09615385000001,SJTU
longdress_19.ply,67.83333333,SJTU
longdress_9.ply,49.27295918,SJTU
longdress_20.ply,58.49489796,SJTU
longdress_21.ply,41.36538462,SJTU
longdress_40.ply,17.833333330000002,SJTU
longdress_39.ply,23.30769231,SJTU
longdress_38.ply,48.25,SJTU
longdress_37.ply,60.08333333,SJTU
longdress_36.ply,83.25,SJTU
longdress_35.ply,14.489795919999999,SJTU
longdress_34.ply,19.872448979999998,SJTU
longdress_33.ply,25.15625,SJTU
longdress_32.ply,45.5,SJTU
longdress_41.ply,14.33333333,SJTU
longdress_30.ply,73.58333333,SJTU
longdress_31.ply,69.85969388,SJTU
longdress_23.ply,17.90384615,SJTU
longdress_24.ply,78.33333333,SJTU
longdress_25.ply,66.40384615,SJTU
longdress_22.ply,36.2372449,SJTU
longdress_27.ply,31.916666669999998,SJTU
longdress_28.ply,14.453125,SJTU
longdress_29.ply,10.75,SJTU
longdress_26.ply,51.666666670000005,SJTU
loot_30.ply,73.41666667,SJTU
loot_24.ply,71.90384615,SJTU
loot_25.ply,72.8125,SJTU
loot_26.ply,41.666666670000005,SJTU
loot_27.ply,23.76923077,SJTU
loot_28.ply,17.03846154,SJTU
loot_29.ply,10.0,SJTU
loot_23.ply,12.23076923,SJTU
loot_35.ply,12.23076923,SJTU
loot_32.ply,47.75,SJTU
loot_33.ply,28.25,SJTU
loot_34.ply,24.92346939,SJTU
loot_36.ply,83.44230768999999,SJTU
loot_37.ply,67.0,SJTU
loot_38.ply,42.5,SJTU
loot_39.ply,27.58333333,SJTU
loot_40.ply,19.34615385,SJTU
loot_22.ply,22.83333333,SJTU
loot_31.ply,77.65306122,SJTU
loot_21.ply,42.99744898,SJTU
loot_41.ply,12.0,SJTU
loot_19.ply,69.25,SJTU
loot_0.ply,69.96153846,SJTU
loot_1.ply,70.859375,SJTU
loot_2.ply,53.83333333,SJTU
loot_3.ply,52.083333329999995,SJTU
loot_4.ply,66.79846939,SJTU
loot_5.ply,27.083333330000002,SJTU
loot_6.ply,96.5,SJTU
loot_7.ply,73.16666667,SJTU
loot_20.ply,48.0,SJTU
loot_8.ply,53.96683673,SJTU
loot_11.ply,40.625,SJTU
loot_12.ply,82.67307692,SJTU
loot_13.ply,86.13520408,SJTU
loot_14.ply,76.76020408000001,SJTU
loot_15.ply,57.8125,SJTU
loot_16.ply,29.75,SJTU
loot_17.ply,18.5,SJTU
loot_18.ply,81.80769231,SJTU
loot_9.ply,45.84615385,SJTU
loot_10.ply,42.30867347,SJTU
redandblack_1.ply,64.5,SJTU
redandblack_22.ply,34.65384615,SJTU
redandblack_17.ply,21.416666669999998,SJTU
redandblack_16.ply,37.09615385,SJTU
redandblack_15.ply,51.640625,SJTU
redandblack_14.ply,66.5,SJTU
redandblack_13.ply,68.03846154,SJTU
redandblack_12.ply,77.67307692,SJTU
