name,mos,dataset
bag_gQP_1_tQP_1.ply,0.8669456186,WPC
bag_gQP_1_tQP_2.ply,0.7614530845,WPC
bag_gQP_1_tQP_3.ply,0.5285558429,WPC
bag_gQP_2_tQP_1.ply,0.521814527,WPC
bag_gQP_2_tQP_2.ply,0.4931511353,WPC
bag_gQP_2_tQP_3.ply,0.3910736912,WPC
bag_gQP_3_tQP_1.ply,0.2744033309,WPC
bag_gQP_3_tQP_2.ply,0.3201772342999999,WPC
bag_gQP_3_tQP_3.ply,0.2961486469,WPC
bag_gsigma_0_tsigma_16.ply,0.8624911138,WPC
bag_gsigma_0_tsigma_32.ply,0.6211964039,WPC
bag_gsigma_0_tsigma_8.ply,0.8878171897,WPC
bag_gsigma_2_tsigma_16.ply,0.4936475509,WPC
bag_gsigma_2_tsigma_32.ply,0.4375380957,WPC
bag_gsigma_2_tsigma_8.ply,0.5692145553,WPC
bag_gsigma_4_tsigma_16.ply,0.2198784768999999,WPC
bag_gsigma_4_tsigma_32.ply,0.2243616481999999,WPC
bag_gsigma_4_tsigma_8.ply,0.2237620413,WPC
bag_level_7.ply,0.0959532456,WPC
bag_level_8.ply,0.1823796415,WPC
bag_level_9.ply,0.8274107891,WPC
bag_pqs_1_qs_16_rounded.ply,0.90340738,WPC
bag_pqs_1_qs_32_rounded.ply,0.8183884571,WPC
bag_pqs_1_qs_48_rounded.ply,0.5843553789,WPC
bag_pqs_1_qs_64_rounded.ply,0.6255491922,WPC
bag_tsl_4_tqs_128.ply,0.6221628821,WPC
bag_tsl_4_tqs_256.ply,0.3626609788,WPC
bag_tsl_4_tqs_512.ply,0.2084981283,WPC
bag_tsl_4_tqs_64.ply,0.6709168866999999,WPC
bag_tsl_6_tqs_128.ply,0.4888989054,WPC
bag_tsl_6_tqs_256.ply,0.402873935,WPC
bag_tsl_6_tqs_512.ply,0.2460106838999999,WPC
bag_tsl_6_tqs_64.ply,0.5851287376,WPC
bag_tsl_8_tqs_128.ply,0.8066164159,WPC
bag_tsl_8_tqs_256.ply,0.6038564447,WPC
bag_tsl_8_tqs_512.ply,0.3495747094,WPC
bag_tsl_8_tqs_64.ply,0.9036817669,WPC
banana_gQP_1_tQP_1.ply,0.6030135594,WPC
banana_gQP_1_tQP_2.ply,0.5605951863,WPC
banana_gQP_1_tQP_3.ply,0.5214230175,WPC
banana_gQP_2_tQP_1.ply,0.4347696839,WPC
banana_gQP_2_tQP_2.ply,0.4398226716,WPC
banana_gQP_2_tQP_3.ply,0.3980857854,WPC
banana_gQP_3_tQP_1.ply,0.2910726664,WPC
banana_gQP_3_tQP_2.ply,0.2395632388,WPC
banana_gQP_3_tQP_3.ply,0.2265939287,WPC
banana_gsigma_0_tsigma_16.ply,0.604722494,WPC
banana_gsigma_0_tsigma_32.ply,0.4011307634,WPC
banana_gsigma_0_tsigma_8.ply,0.830931383,WPC
banana_gsigma_2_tsigma_16.ply,0.4966770221,WPC
