name,mos,dataset
bag_geo_26_col_26.ply,82.47234473,WPC2
bag_geo_26_col_32.ply,81.50116176,WPC2
bag_geo_26_col_38.ply,85.4385358,WPC2
bag_geo_26_col_44.ply,71.04296463,WPC2
bag_geo_26_col_50.ply,41.91038026,WPC2
bag_geo_32_col_26.ply,83.44156863,WPC2
bag_geo_32_col_32.ply,86.69467258,WPC2
bag_geo_32_col_38.ply,80.02933444,WPC2
bag_geo_32_col_44.ply,67.47866308,WPC2
bag_geo_32_col_50.ply,47.43341328,WPC2
bag_geo_38_col_26.ply,83.61136676,WPC2
bag_geo_38_col_32.ply,80.3914416,WPC2
bag_geo_38_col_38.ply,76.25327024,WPC2
bag_geo_38_col_44.ply,69.13474583,WPC2
bag_geo_38_col_50.ply,45.90383473,WPC2
bag_geo_44_col_26.ply,75.85519217,WPC2
bag_geo_44_col_32.ply,65.08506674,WPC2
bag_geo_44_col_38.ply,63.72529702,WPC2
bag_geo_44_col_44.ply,56.1250448,WPC2
bag_geo_44_col_50.ply,37.89736269,WPC2
bag_geo_50_col_26.ply,41.59709778,WPC2
bag_geo_50_col_32.ply,37.77756307,WPC2
bag_geo_50_col_38.ply,31.30357686,WPC2
bag_geo_50_col_44.ply,30.08100543,WPC2
bag_geo_50_col_50.ply,16.8357365,WPC2
banana_geo_26_col_26.ply,81.64996065,WPC2
banana_geo_26_col_32.ply,79.68820665,WPC2
banana_geo_26_col_38.ply,64.95547928,WPC2
banana_geo_26_col_44.ply,64.52449769,WPC2
banana_geo_26_col_50.ply,56.08639738,WPC2
banana_geo_32_col_26.ply,76.91325807,WPC2
banana_geo_32_col_32.ply,75.70382067,WPC2
banana_geo_32_col_38.ply,68.53237677,WPC2
banana_geo_32_col_44.ply,67.97805374,WPC2
banana_geo_32_col_50.ply,52.68423618,WPC2
banana_geo_38_col_26.ply,63.20758633,WPC2
banana_geo_38_col_32.ply,57.96579584,WPC2
banana_geo_38_col_38.ply,54.871165,WPC2
banana_geo_38_col_44.ply,50.02171706,WPC2
banana_geo_38_col_50.ply,41.77923736,WPC2
banana_geo_44_col_26.ply,42.01338088,WPC2
banana_geo_44_col_32.ply,38.22772297,WPC2
banana_geo_44_col_38.ply,40.19256122,WPC2
banana_geo_44_col_44.ply,36.01163561,WPC2
banana_geo_44_col_50.ply,35.10854256,WPC2
banana_geo_50_col_26.ply,24.88079744,WPC2
banana_geo_50_col_32.ply,24.35969205,WPC2
banana_geo_50_col_38.ply,23.60151328,WPC2
banana_geo_50_col_44.ply,22.55017941,WPC2
banana_geo_50_col_50.ply,21.04548723,WPC2
biscuits_geo_26_col_26.ply,87.89236849,WPC2
biscuits_geo_26_col_32.ply,81.64304521,WPC2
biscuits_geo_26_col_38.ply,75.31547102,WPC2
biscuits_geo_26_col_44.ply,70.69705053,WPC2
