name,mos,dataset
bag_geo_26_col_26.ply,0.8247234473,WPC2
bag_geo_26_col_32.ply,0.8150116176000001,WPC2
bag_geo_26_col_38.ply,0.8543853579999999,WPC2
bag_geo_26_col_44.ply,0.7104296463,WPC2
bag_geo_26_col_50.ply,0.41910380259999996,WPC2
bag_geo_32_col_26.ply,0.8344156863000001,WPC2
bag_geo_32_col_32.ply,0.8669467258,WPC2
bag_geo_32_col_38.ply,0.8002933444,WPC2
bag_geo_32_col_44.ply,0.6747866308,WPC2
bag_geo_32_col_50.ply,0.47433413280000003,WPC2
bag_geo_38_col_26.ply,0.8361136675999999,WPC2
bag_geo_38_col_32.ply,0.8039144159999999,WPC2
bag_geo_38_col_38.ply,0.7625327024,WPC2
bag_geo_38_col_44.ply,0.6913474583,WPC2
bag_geo_38_col_50.ply,0.4590383473,WPC2
bag_geo_44_col_26.ply,0.7585519217,WPC2
bag_geo_44_col_32.ply,0.6508506674,WPC2
bag_geo_44_col_38.ply,0.6372529702,WPC2
bag_geo_44_col_44.ply,0.561250448,WPC2
bag_geo_44_col_50.ply,0.3789736269,WPC2
bag_geo_50_col_26.ply,0.4159709778,WPC2
bag_geo_50_col_32.ply,0.3777756307,WPC2
bag_geo_50_col_38.ply,0.3130357686,WPC2
bag_geo_50_col_44.ply,0.3008100543,WPC2
bag_geo_50_col_50.ply,0.16835736499999998,WPC2
banana_geo_26_col_26.ply,0.8164996065,WPC2
banana_geo_26_col_32.ply,0.7968820664999999,WPC2
banana_geo_26_col_38.ply,0.6495547928000001,WPC2
banana_geo_26_col_44.ply,0.6452449769,WPC2
banana_geo_26_col_50.ply,0.5608639738,WPC2
banana_geo_32_col_26.ply,0.7691325807,WPC2
banana_geo_32_col_32.ply,0.7570382067,WPC2
banana_geo_32_col_38.ply,0.6853237677,WPC2
banana_geo_32_col_44.ply,0.6797805373999999,WPC2
banana_geo_32_col_50.ply,0.5268423618,WPC2
banana_geo_38_col_26.ply,0.6320758633,WPC2
banana_geo_38_col_32.ply,0.5796579584,WPC2
banana_geo_38_col_38.ply,0.54871165,WPC2
banana_geo_38_col_44.ply,0.5002171706,WPC2
banana_geo_38_col_50.ply,0.41779237360000004,WPC2
banana_geo_44_col_26.ply,0.4201338088,WPC2
banana_geo_44_col_32.ply,0.3822772297,WPC2
banana_geo_44_col_38.ply,0.4019256122,WPC2
banana_geo_44_col_44.ply,0.3601163561,WPC2
banana_geo_44_col_50.ply,0.35108542559999995,WPC2
banana_geo_50_col_26.ply,0.2488079744,WPC2
banana_geo_50_col_32.ply,0.2435969205,WPC2
banana_geo_50_col_38.ply,0.2360151328,WPC2
banana_geo_50_col_44.ply,0.22550179409999999,WPC2
banana_geo_50_col_50.ply,0.21045487229999998,WPC2
biscuits_geo_26_col_26.ply,0.8789236849,WPC2
biscuits_geo_26_col_32.ply,0.8164304521,WPC2
biscuits_geo_26_col_38.ply,0.7531547102,WPC2
biscuits_geo_26_col_44.ply,0.7069705052999999,WPC2
biscuits_geo_26_col_50.ply,0.4748677611,WPC2
biscuits_geo_32_col_26.ply,0.8515945341,WPC2
biscuits_geo_32_col_32.ply,0.8355741403,WPC2
biscuits_geo_32_col_38.ply,0.7627075718999999,WPC2
biscuits_geo_32_col_44.ply,0.6375379499,WPC2
biscuits_geo_32_col_50.ply,0.477863712,WPC2
biscuits_geo_38_col_26.ply,0.7953568169,WPC2
biscuits_geo_38_col_32.ply,0.8343605882999999,WPC2
biscuits_geo_38_col_38.ply,0.770382203,WPC2
biscuits_geo_38_col_44.ply,0.6778999897999999,WPC2
biscuits_geo_38_col_50.ply,0.5085182184,WPC2
biscuits_geo_44_col_26.ply,0.7307764118,WPC2
biscuits_geo_44_col_32.ply,0.6459484699,WPC2
biscuits_geo_44_col_38.ply,0.58470167,WPC2
biscuits_geo_44_col_44.ply,0.5695202811,WPC2
biscuits_geo_44_col_50.ply,0.432095155,WPC2
biscuits_geo_50_col_26.ply,0.5333530414,WPC2
biscuits_geo_50_col_32.ply,0.49294871960000003,WPC2
biscuits_geo_50_col_38.ply,0.5149897868,WPC2
biscuits_geo_50_col_44.ply,0.4273195124,WPC2
biscuits_geo_50_col_50.ply,0.366391662,WPC2
cake_geo_26_col_26.ply,0.8693593505,WPC2
cake_geo_26_col_32.ply,0.8547863801,WPC2
cake_geo_26_col_38.ply,0.816946559,WPC2
cake_geo_26_col_44.ply,0.6956396173999999,WPC2
cake_geo_26_col_50.ply,0.5474608311,WPC2
cake_geo_32_col_26.ply,0.8471847991,WPC2
cake_geo_32_col_32.ply,0.8098232285,WPC2
cake_geo_32_col_38.ply,0.7720122353,WPC2
cake_geo_32_col_44.ply,0.7082885252,WPC2
cake_geo_32_col_50.ply,0.4845050687,WPC2
cake_geo_38_col_26.ply,0.8133226738,WPC2
cake_geo_38_col_32.ply,0.7772779233,WPC2
cake_geo_38_col_38.ply,0.7352551855999999,WPC2
cake_geo_38_col_44.ply,0.6402248410999999,WPC2
cake_geo_38_col_50.ply,0.5223505804999999,WPC2
cake_geo_44_col_26.ply,0.6228396019,WPC2
cake_geo_44_col_32.ply,0.5956320216000001,WPC2
cake_geo_44_col_38.ply,0.5862467151,WPC2
cake_geo_44_col_44.ply,0.47280698250000003,WPC2
cake_geo_44_col_50.ply,0.4663116283,WPC2
cake_geo_50_col_26.ply,0.29913150850000003,WPC2
cake_geo_50_col_32.ply,0.395743814,WPC2
cake_geo_50_col_38.ply,0.2688251262,WPC2
cake_geo_50_col_44.ply,0.2771117768,WPC2
cake_geo_50_col_50.ply,0.2705130824,WPC2
cauliflower_geo_26_col_26.ply,0.8720621667999999,WPC2
cauliflower_geo_26_col_32.ply,0.8947069544,WPC2
cauliflower_geo_26_col_38.ply,0.7897371118,WPC2
cauliflower_geo_26_col_44.ply,0.5822488108,WPC2
cauliflower_geo_26_col_50.ply,0.41746120130000003,WPC2
cauliflower_geo_32_col_26.ply,0.8661105975,WPC2
cauliflower_geo_32_col_32.ply,0.8504592101,WPC2
cauliflower_geo_32_col_38.ply,0.8166321716999999,WPC2
cauliflower_geo_32_col_44.ply,0.6538341444,WPC2
cauliflower_geo_32_col_50.ply,0.44404413159999995,WPC2
cauliflower_geo_38_col_26.ply,0.8193663428000001,WPC2
cauliflower_geo_38_col_32.ply,0.7558424576,WPC2
cauliflower_geo_38_col_38.ply,0.705368655,WPC2
cauliflower_geo_38_col_44.ply,0.6345693263,WPC2
cauliflower_geo_38_col_50.ply,0.4083049936,WPC2
cauliflower_geo_44_col_26.ply,0.5473559138,WPC2
cauliflower_geo_44_col_32.ply,0.5573359505,WPC2
cauliflower_geo_44_col_38.ply,0.4952146992,WPC2
cauliflower_geo_44_col_44.ply,0.4066558716,WPC2
cauliflower_geo_44_col_50.ply,0.30088293050000003,WPC2
cauliflower_geo_50_col_26.ply,0.36296263519999994,WPC2
cauliflower_geo_50_col_32.ply,0.2865014645,WPC2
cauliflower_geo_50_col_38.ply,0.2568950851,WPC2
cauliflower_geo_50_col_44.ply,0.2645332869,WPC2
cauliflower_geo_50_col_50.ply,0.213149532,WPC2
flowerpot_geo_26_col_26.ply,0.867946709,WPC2
flowerpot_geo_26_col_32.ply,0.8666088587,WPC2
flowerpot_geo_26_col_38.ply,0.8572335130000001,WPC2
flowerpot_geo_26_col_44.ply,0.8080124628,WPC2
flowerpot_geo_26_col_50.ply,0.6447383213000001,WPC2
flowerpot_geo_32_col_26.ply,0.8189446911,WPC2
flowerpot_geo_32_col_32.ply,0.8089103366,WPC2
flowerpot_geo_32_col_38.ply,0.7265340566999999,WPC2
flowerpot_geo_32_col_44.ply,0.7604629405,WPC2
flowerpot_geo_32_col_50.ply,0.6074870466,WPC2
flowerpot_geo_38_col_26.ply,0.6514095838999999,WPC2
flowerpot_geo_38_col_32.ply,0.620622075,WPC2
flowerpot_geo_38_col_38.ply,0.5918671483,WPC2
flowerpot_geo_38_col_44.ply,0.5324044181,WPC2
flowerpot_geo_38_col_50.ply,0.45499465229999997,WPC2
flowerpot_geo_44_col_26.ply,0.36430438019999994,WPC2
flowerpot_geo_44_col_32.ply,0.3777810687,WPC2
flowerpot_geo_44_col_38.ply,0.4118511639,WPC2
flowerpot_geo_44_col_44.ply,0.4079568423,WPC2
flowerpot_geo_44_col_50.ply,0.3162238645,WPC2
flowerpot_geo_50_col_26.ply,0.2457202116,WPC2
flowerpot_geo_50_col_32.ply,0.26379693060000003,WPC2
flowerpot_geo_50_col_38.ply,0.24171516359999998,WPC2
flowerpot_geo_50_col_44.ply,0.2679966162,WPC2
flowerpot_geo_50_col_50.ply,0.2003116253,WPC2
house_geo_26_col_26.ply,0.8898964813000001,WPC2
house_geo_26_col_32.ply,0.8912050798,WPC2
house_geo_26_col_38.ply,0.8322674795,WPC2
house_geo_26_col_44.ply,0.6631566123,WPC2
house_geo_26_col_50.ply,0.3109675568,WPC2
house_geo_32_col_26.ply,0.922348361,WPC2
house_geo_32_col_32.ply,0.8993803658999999,WPC2
house_geo_32_col_38.ply,0.8385605946,WPC2
house_geo_32_col_44.ply,0.6082084148,WPC2
house_geo_32_col_50.ply,0.2831897294,WPC2
house_geo_38_col_26.ply,0.8110341128999999,WPC2
house_geo_38_col_32.ply,0.8285094578000001,WPC2
house_geo_38_col_38.ply,0.7968404118,WPC2
house_geo_38_col_44.ply,0.5217337422,WPC2
house_geo_38_col_50.ply,0.2557062624,WPC2
house_geo_44_col_26.ply,0.6150579909,WPC2
house_geo_44_col_32.ply,0.6488505391,WPC2
house_geo_44_col_38.ply,0.6312681981,WPC2
house_geo_44_col_44.ply,0.47909777130000003,WPC2
house_geo_44_col_50.ply,0.165009565,WPC2
house_geo_50_col_26.ply,0.3745244352,WPC2
house_geo_50_col_32.ply,0.36760770049999997,WPC2
house_geo_50_col_38.ply,0.3384180963,WPC2
house_geo_50_col_44.ply,0.32258973500000004,WPC2
house_geo_50_col_50.ply,0.1525649469,WPC2
litchi_geo_26_col_26.ply,0.9298218434000001,WPC2
litchi_geo_26_col_32.ply,0.9313624992,WPC2
litchi_geo_26_col_38.ply,0.8917895455,WPC2
litchi_geo_26_col_44.ply,0.5666911015,WPC2
litchi_geo_26_col_50.ply,0.3054403914,WPC2
litchi_geo_32_col_26.ply,0.9158295768000001,WPC2
litchi_geo_32_col_32.ply,0.8997410704000001,WPC2
litchi_geo_32_col_38.ply,0.8320244082000001,WPC2
litchi_geo_32_col_44.ply,0.5913853829,WPC2
litchi_geo_32_col_50.ply,0.31640686030000004,WPC2
litchi_geo_38_col_26.ply,0.8563865457,WPC2
litchi_geo_38_col_32.ply,0.8518595553,WPC2
litchi_geo_38_col_38.ply,0.7754700012000001,WPC2
litchi_geo_38_col_44.ply,0.4919948552,WPC2
litchi_geo_38_col_50.ply,0.3097987417,WPC2
litchi_geo_44_col_26.ply,0.6365609857,WPC2
litchi_geo_44_col_32.ply,0.6131218857,WPC2
litchi_geo_44_col_38.ply,0.6680431656,WPC2
litchi_geo_44_col_44.ply,0.4643992575,WPC2
litchi_geo_44_col_50.ply,0.2505668561,WPC2
litchi_geo_50_col_32.ply,0.4248636751,WPC2
litchi_geo_50_col_38.ply,0.4096871112,WPC2
litchi_geo_50_col_44.ply,0.3214833634,WPC2
litchi_geo_50_col_50.ply,0.2022086654,WPC2
mushroom_geo_26_col_26.ply,0.8299466308,WPC2
mushroom_geo_26_col_32.ply,0.7835711356999999,WPC2
mushroom_geo_26_col_38.ply,0.7437854846,WPC2
mushroom_geo_26_col_44.ply,0.4534390773,WPC2
mushroom_geo_26_col_50.ply,0.2957189469,WPC2
mushroom_geo_32_col_26.ply,0.7442413174000001,WPC2
mushroom_geo_32_col_32.ply,0.7548057846,WPC2
mushroom_geo_32_col_38.ply,0.6697971081,WPC2
mushroom_geo_32_col_44.ply,0.38572241339999996,WPC2
mushroom_geo_32_col_50.ply,0.2630610262,WPC2
mushroom_geo_38_col_26.ply,0.7368149112000001,WPC2
mushroom_geo_38_col_32.ply,0.7440943305000001,WPC2
mushroom_geo_38_col_38.ply,0.6756815855,WPC2
mushroom_geo_38_col_44.ply,0.4597990694,WPC2
mushroom_geo_38_col_50.ply,0.2591678176,WPC2
mushroom_geo_44_col_26.ply,0.6343660012,WPC2
mushroom_geo_44_col_32.ply,0.574635079,WPC2
mushroom_geo_44_col_38.ply,0.5278441402,WPC2
mushroom_geo_44_col_44.ply,0.3872230987,WPC2
mushroom_geo_44_col_50.ply,0.2731978428,WPC2
mushroom_geo_50_col_26.ply,0.4113785419,WPC2
mushroom_geo_50_col_32.ply,0.30410466459999996,WPC2
mushroom_geo_50_col_38.ply,0.3462786549,WPC2
mushroom_geo_50_col_44.ply,0.2299801833,WPC2
mushroom_geo_50_col_50.ply,0.1817341616,WPC2
ping-pong_bat_geo_26_col_26.ply,0.8812212138,WPC2
ping-pong_bat_geo_26_col_32.ply,0.8248026711,WPC2
ping-pong_bat_geo_26_col_38.ply,0.7111777979999999,WPC2
ping-pong_bat_geo_26_col_44.ply,0.4585674466,WPC2
ping-pong_bat_geo_26_col_50.ply,0.2866016866,WPC2
ping-pong_bat_geo_32_col_26.ply,0.8633896638999999,WPC2
ping-pong_bat_geo_32_col_32.ply,0.8070324182,WPC2
ping-pong_bat_geo_32_col_38.ply,0.6826001916,WPC2
ping-pong_bat_geo_32_col_44.ply,0.450583743,WPC2
ping-pong_bat_geo_32_col_50.ply,0.2904854047,WPC2
ping-pong_bat_geo_38_col_26.ply,0.8284626296000001,WPC2
ping-pong_bat_geo_38_col_32.ply,0.7926610718,WPC2
ping-pong_bat_geo_38_col_38.ply,0.6634291826000001,WPC2
ping-pong_bat_geo_38_col_44.ply,0.5157256258,WPC2
ping-pong_bat_geo_38_col_50.ply,0.2841275306,WPC2
ping-pong_bat_geo_44_col_26.ply,0.5142018633,WPC2
ping-pong_bat_geo_44_col_32.ply,0.4361665827,WPC2
ping-pong_bat_geo_44_col_38.ply,0.4445107321,WPC2
